DATE,DEXUSEU,DEXJPUS,DEXCHUS,DEXUSUK
2010-07-19,1.2963,86.7700,6.7780,1.5222
2010-07-20,1.2905,87.2200,6.7781,1.5255
2010-07-21,1.2818,87.3000,6.7769,1.5201
2010-07-22,1.2903,87.0000,6.7795,1.5283
2010-07-23,1.2874,87.3100,6.7803,1.5425
2010-07-26,1.2983,87.2000,6.7788,1.5490
2010-07-27,1.2983,87.8800,6.7781,1.5538
2010-07-28,1.2998,87.6200,6.7780,1.5611
2010-07-29,1.3064,86.8700,6.7760,1.5591
2010-07-30,1.3069,86.4300,6.7735,1.5714
2010-08-02,1.3174,86.4200,6.7740,1.5897
2010-08-03,1.3239,85.8800,6.7728,1.5941
2010-08-04,1.3158,86.2600,6.7720,1.5887
2010-08-05,1.3157,85.8300,6.7705,1.5860
2010-08-06,1.3282,85.2500,6.7680,1.5979
2010-08-09,1.3241,85.8800,6.7670,1.5945
2010-08-10,1.3095,85.8800,6.7720,1.5776
2010-08-11,1.2899,85.3600,6.7745,1.5688
2010-08-12,1.2866,85.8300,6.7843,1.5573
2010-08-13,1.2767,86.2000,6.7957,1.5580
2010-08-16,1.2838,85.3300,6.8038,1.5679
2010-08-17,1.2890,85.5100,6.7920,1.5586
2010-08-18,1.2872,85.3100,6.7911,1.5619
2010-08-19,1.2837,85.2700,6.7897,1.5612
2010-08-20,1.2687,85.6300,6.7900,1.5515
2010-08-23,1.2663,85.1600,6.7995,1.5532
2010-08-24,1.2675,84.1600,6.7966,1.5471
2010-08-25,1.2652,84.5600,6.7995,1.5460
2010-08-26,1.2717,84.6100,6.7998,1.5574
2010-08-27,1.2765,85.1000,6.7977,1.5528
2010-08-30,1.2686,84.6700,6.8029,1.5473
2010-08-31,1.2704,84.1000,6.8069,1.5358
2010-09-01,1.2813,84.4800,6.8102,1.5472
2010-09-02,1.2824,84.1500,6.8070,1.5393
2010-09-03,1.2885,84.4500,6.8014,1.5452
2010-09-06,.,.,.,.
2010-09-07,1.2723,83.7500,6.7906,1.5315
2010-09-08,1.2727,83.8500,6.7940,1.5513
2010-09-09,1.2708,83.8300,6.7820,1.5448
2010-09-10,1.2731,84.1300,6.7690,1.5387
2010-09-13,1.2890,83.5300,6.7595,1.5466
2010-09-14,1.3014,83.0500,6.7430,1.5559
2010-09-15,1.3008,85.6300,6.7380,1.5641
2010-09-16,1.3079,85.7200,6.7250,1.5612
2010-09-17,1.3046,85.7700,6.7230,1.5635
2010-09-20,1.3074,85.7400,6.7135,1.5564
2010-09-21,1.3136,85.3600,6.7059,1.5551
2010-09-22,1.3385,84.3700,6.7035,1.5649
2010-09-23,1.3344,84.3200,6.7046,1.5723
2010-09-24,1.3476,84.2400,6.7035,1.5829
2010-09-27,1.3475,84.1700,6.6911,1.5851
2010-09-28,1.3583,83.8200,6.6904,1.5808
2010-09-29,1.3638,83.6100,6.6869,1.5812
2010-09-30,1.3601,83.5300,6.6905,1.5731
2010-10-01,1.3754,83.3000,6.6895,1.5829
2010-10-04,1.3688,83.3300,6.6912,1.5849
2010-10-05,1.3834,83.1700,6.6906,1.5915
2010-10-06,1.3924,82.8000,6.6893,1.5903
2010-10-07,1.3921,82.3500,6.6903,1.5930
2010-10-08,1.3923,81.8600,6.6710,1.5951
2010-10-11,.,.,.,.
2010-10-12,1.3846,81.7400,6.6733,1.5799
2010-10-13,1.3964,81.8100,6.6634,1.5843
2010-10-14,1.4066,81.4400,6.6505,1.5992
2010-10-15,1.3998,81.3200,6.6397,1.6027
2010-10-18,1.3978,81.1600,6.6440,1.5907
2010-10-19,1.3827,81.6000,6.6444,1.5739
2010-10-20,1.3949,81.1400,6.6518,1.5857
2010-10-21,1.3973,81.1600,6.6502,1.5753
2010-10-22,1.3904,81.4800,6.6583,1.5677
2010-10-25,1.3986,80.6100,6.6579,1.5748
2010-10-26,1.3873,81.2800,6.6625,1.5871
2010-10-27,1.3788,81.5500,6.6805,1.5782
2010-10-28,1.3929,80.9900,6.6867,1.5945
2010-10-29,1.3894,80.4800,6.6707,1.6020
2010-11-01,1.3888,80.6600,6.6892,1.6050
2010-11-02,1.4026,80.8000,6.6775,1.6010
2010-11-03,1.4014,81.4100,6.6758,1.6080
2010-11-04,1.4224,80.6100,6.6609,1.6282
2010-11-05,1.4033,81.3500,6.6550,1.6211
2010-11-08,1.3927,81.1400,6.6791,1.6150
2010-11-09,1.3865,81.1500,6.6424,1.6050
2010-11-10,1.3728,82.5300,6.6335,1.6071
2010-11-11,.,.,.,.
2010-11-12,1.3700,82.4400,6.6368,1.6172
2010-11-15,1.3615,82.9000,6.6418,1.6064
2010-11-16,1.3517,83.4100,6.6378,1.5881
2010-11-17,1.3555,83.1500,6.6415,1.5941
2010-11-18,1.3618,83.6400,6.6330,1.6010
2010-11-19,1.3654,83.4900,6.6398,1.5961
2010-11-22,1.3612,83.4600,6.6414,1.5932
