DATE,GOLDAMGBD228NLBM
2010-07-19,1190.250
2010-07-20,1181.500
2010-07-21,1191.250
2010-07-22,1187.000
2010-07-23,1198.750
2010-07-26,1189.000
2010-07-27,1184.000
2010-07-28,1164.000
2010-07-29,1166.000
2010-07-30,1168.000
2010-08-02,1178.000
2010-08-03,1184.000
2010-08-04,1194.500
2010-08-05,1195.500
2010-08-06,1194.500
2010-08-09,1206.000
2010-08-10,1196.750
2010-08-11,1198.000
2010-08-12,1200.000
2010-08-13,1215.000
2010-08-16,1222.000
2010-08-17,1226.250
2010-08-18,1223.000
2010-08-19,1228.000
2010-08-20,1230.500
2010-08-23,1227.000
2010-08-24,1218.000
2010-08-25,1237.500
2010-08-26,1240.250
2010-08-27,1234.500
2010-08-30,.
2010-08-31,1233.500
2010-09-01,1250.000
2010-09-02,1247.750
2010-09-03,1252.000
2010-09-06,1249.500
2010-09-07,1247.250
2010-09-08,1258.000
2010-09-09,1253.500
2010-09-10,1248.750
2010-09-13,1243.000
2010-09-14,1253.250
2010-09-15,1270.400
2010-09-16,1271.250
2010-09-17,1281.500
2010-09-20,1280.250
2010-09-21,1278.750
2010-09-22,1291.750
2010-09-23,1291.500
2010-09-24,1298.000
2010-09-27,1298.250
2010-09-28,1289.000
2010-09-29,1307.500
2010-09-30,1311.000
2010-10-01,1313.000
2010-10-04,1316.000
2010-10-05,1325.750
2010-10-06,1347.000
2010-10-07,1359.500
2010-10-08,1330.500
2010-10-11,1348.500
2010-10-12,1343.500
2010-10-13,1358.500
2010-10-14,1380.750
2010-10-15,1377.250
2010-10-18,1359.750
2010-10-19,1367.750
2010-10-20,1340.500
2010-10-21,1345.250
2010-10-22,1319.000
2010-10-25,1345.000
2010-10-26,1334.000
2010-10-27,1332.250
2010-10-28,1326.500
2010-10-29,1336.750
2010-11-01,1361.500
2010-11-02,1358.000
2010-11-03,1358.500
2010-11-04,1361.000
2010-11-05,1384.250
2010-11-08,1390.000
2010-11-09,1416.250
2010-11-10,1402.000
2010-11-11,1413.000
2010-11-12,1387.000
2010-11-15,1367.000
2010-11-16,1363.250
2010-11-17,1336.500
2010-11-18,1356.750
2010-11-19,1357.500
2010-11-22,1357.500
2010-11-23,1361.000
2010-11-24,1376.250
2010-11-25,1370.500
2010-11-26,1366.500
2010-11-29,1360.000
2010-11-30,1375.000
2010-12-01,1391.500
2010-12-02,1390.000
2010-12-03,1391.750
2010-12-06,1411.500
2010-12-07,1426.000
2010-12-08,1395.000
2010-12-09,1382.000
2010-12-10,1390.000
2010-12-13,1388.250
2010-12-14,1405.000
2010-12-15,1388.250
2010-12-16,1384.000
2010-12-17,1374.750
2010-12-20,1381.000
2010-12-21,1386.000
2010-12-22,1389.000
2010-12-23,1384.000
2010-12-24,1380.500
2010-12-27,.
2010-12-28,.
2010-12-29,1403.500
2010-12-30,1411.500
2010-12-31,1410.250
2011-01-03,.
2011-01-04,1405.500
2011-01-05,1382.750
2011-01-06,1376.000
2011-01-07,1358.000
2011-01-10,1368.250
2011-01-11,1381.000
2011-01-12,1383.500
2011-01-13,1380.750
2011-01-14,1369.250
2011-01-17,1357.500
2011-01-18,1368.750
2011-01-19,1373.750
2011-01-20,1364.500
2011-01-21,1344.000
2011-01-24,1347.500
2011-01-25,1326.000
2011-01-26,1335.500
2011-01-27,1337.500
2011-01-28,1316.000
2011-01-31,1333.500
2011-02-01,1337.500
2011-02-02,1337.000
2011-02-03,1332.500
2011-02-04,1347.500
2011-02-07,1347.000
2011-02-08,1354.000
2011-02-09,1362.500
2011-02-10,1358.750
2011-02-11,1359.000
2011-02-14,1356.750
2011-02-15,1372.250
2011-02-16,1374.500
2011-02-17,1377.000
2011-02-18,1385.500
2011-02-21,1399.500
2011-02-22,1394.500
2011-02-23,1401.250
2011-02-24,1414.500
2011-02-25,1405.000
2011-02-28,1409.750
2011-03-01,1414.500
2011-03-02,1430.500
2011-03-03,1430.500
2011-03-04,1418.000
2011-03-07,1437.000
2011-03-08,1435.000
2011-03-09,1431.500
2011-03-10,1424.250
2011-03-11,1409.750
2011-03-14,1424.500
2011-03-15,1407.000
2011-03-16,1398.500
2011-03-17,1403.500
2011-03-18,1415.500
2011-03-21,1427.750
2011-03-22,1425.500
2011-03-23,1433.000
2011-03-24,1441.250
2011-03-25,1434.000
2011-03-28,1420.000
2011-03-29,1414.000
2011-03-30,1419.000
2011-03-31,1431.000
2011-04-01,1434.500
2011-04-04,1432.500
2011-04-05,1434.500
2011-04-06,1457.000
2011-04-07,1456.500
2011-04-08,1470.500
2011-04-11,1469.500
2011-04-12,1461.250
2011-04-13,1458.000
2011-04-14,1457.500
2011-04-15,1472.500
2011-04-18,1484.500
2011-04-19,1495.000
2011-04-20,1505.000
2011-04-21,1507.000
2011-04-22,.
2011-04-25,.
2011-04-26,1505.000
2011-04-27,1508.000
2011-04-28,1531.000
2011-04-29,.
2011-05-02,.
2011-05-03,1546.500
2011-05-04,1536.000
2011-05-05,1514.500
2011-05-06,1487.750
2011-05-09,1505.000
2011-05-10,1517.250
2011-05-11,1524.500
2011-05-12,1488.250
2011-05-13,1511.000
2011-05-16,1495.000
2011-05-17,1495.500
2011-05-18,1491.250
2011-05-19,1488.750
2011-05-20,1502.750
2011-05-23,1508.500
2011-05-24,1520.750
2011-05-25,1527.000
2011-05-26,1521.500
