Date,SP500
2010/7/19,1071.25
2010/7/20,1083.48
2010/7/21,1069.59
2010/7/22,1093.67
2010/7/23,1102.66
2010/7/26,1115.01
2010/7/27,1113.84
2010/7/28,1106.13
2010/7/29,1101.53
2010/7/30,1101.6
2010/8/2,1125.86
2010/8/3,1120.46
2010/8/4,1127.24
2010/8/5,1125.81
2010/8/6,1121.64
2010/8/9,1127.79
2010/8/10,1121.06
2010/8/11,1089.47
2010/8/12,1083.61
2010/8/13,1079.25
2010/8/16,1079.38
2010/8/17,1092.54
2010/8/18,1094.16
2010/8/19,1075.63
2010/8/20,1071.69
2010/8/23,1067.36
2010/8/24,1051.87
2010/8/25,1055.33
2010/8/26,1047.22
2010/8/27,1064.59
2010/8/30,1048.92
2010/8/31,1049.33
2010/9/1,1080.29
2010/9/2,1090.1
2010/9/3,1104.51
2010/9/6,.
2010/9/7,1091.84
2010/9/8,1098.87
2010/9/9,1104.18
2010/9/10,1109.55
2010/9/13,1121.9
2010/9/14,1121.1
2010/9/15,1125.07
2010/9/16,1124.66
2010/9/17,1125.59
2010/9/20,1142.71
2010/9/21,1139.78
2010/9/22,1134.28
2010/9/23,1124.83
2010/9/24,1148.67
2010/9/27,1142.16
2010/9/28,1147.7
2010/9/29,1144.73
2010/9/30,1141.2
2010/10/1,1146.24
2010/10/4,1137.03
2010/10/5,1160.75
2010/10/6,1159.97
2010/10/7,1158.06
2010/10/8,1165.15
2010/10/11,1165.32
2010/10/12,1169.77
2010/10/13,1178.1
2010/10/14,1173.81
2010/10/15,1176.19
2010/10/18,1184.71
2010/10/19,1165.9
2010/10/20,1178.17
2010/10/21,1180.26
2010/10/22,1183.08
2010/10/25,1185.62
2010/10/26,1185.64
2010/10/27,1182.45
2010/10/28,1183.78
2010/10/29,1183.26
2010/11/1,1184.38
2010/11/2,1193.57
2010/11/3,1197.96
2010/11/4,1221.06
2010/11/5,1225.85
2010/11/8,1223.25
2010/11/9,1213.4
2010/11/10,1218.71
2010/11/11,1213.54
2010/11/12,1199.21
2010/11/15,1197.75
2010/11/16,1178.34
2010/11/17,1178.59
2010/11/18,1196.69
2010/11/19,1199.73
2010/11/22,1197.84
2010/11/23,1180.73
2010/11/24,1198.35
2010/11/25,.
2010/11/26,1189.4
2010/11/29,1187.76
2010/11/30,1180.55
2010/12/1,1206.07
2010/12/2,1221.53
2010/12/3,1224.71
2010/12/6,1223.12
2010/12/7,1223.75
2010/12/8,1228.28
2010/12/9,1233
2010/12/10,1240.4
2010/12/13,1240.46
2010/12/14,1241.59
2010/12/15,1235.23
2010/12/16,1242.87
2010/12/17,1243.91
2010/12/20,1247.08
2010/12/21,1254.6
2010/12/22,1258.84
2010/12/23,1256.77
2010/12/24,.
2010/12/27,1257.54
2010/12/28,1258.51
2010/12/29,1259.78
2010/12/30,1257.88
2010/12/31,1257.64
2011/1/3,1271.87
2011/1/4,1270.2
2011/1/5,1276.56
2011/1/6,1273.85
2011/1/7,1271.5
